Titles,Critics Score,Audience Score,Premiere
Mamamoo: My Con the Movie,,100,"Aug 09, 2023"
Hunting for the Hag,,,"Aug 09, 2023"
Underdog,,,"Aug 10, 2023"
Jailer,,84,"Aug 10, 2023"
Bholaa Shankar,,43,"Aug 10, 2023"
"Drum Corps International: Big, Loud & Live 18",,100,"Aug 10, 2023"
Gran Turismo: Based on a True Story,55,,"Aug 25, 2023"
The Last Voyage of the Demeter,37,,"Aug 11, 2023"
Jules,87,83,"Aug 11, 2023"
Heart of Stone,28,,"Aug 11, 2023"
Medusa Deluxe,77,,"Aug 11, 2023"
King on Screen,83,,"Aug 11, 2023"
Aporia,90,,"Aug 11, 2023"
Operation Napoleon,,,"Aug 11, 2023"
The Pod Generation,40,,"Aug 11, 2023"
Go West,,82,"Aug 11, 2023"
Inside Man,,,"Aug 11, 2023"
King Coal,88,,"Aug 11, 2023"
Between Two Worlds,79,,"Aug 11, 2023"
Match Me If You Can,,,"Aug 11, 2023"
Gadar 2,,,"Aug 11, 2023"
3 Days in Malay,,,"Aug 11, 2023"
The Monkey King,,,"Aug 11, 2023"
Aurora's Sunrise,100,,"Aug 11, 2023"
The Eternal Memory,93,,"Aug 11, 2023"
Senior Year: Love Never Fails,,,"Aug 11, 2023"
OMG 2,,,"Aug 11, 2023"
CHAAW: Chapter 1,,,"Aug 11, 2023"
Love Life,76,,"Aug 11, 2023"
With This Light,,,"Aug 11, 2023"
One and Only,,,"Aug 11, 2023"
Sound of the Police,,,"Aug 11, 2023"
Mad Fate,80,,"Aug 11, 2023"
Caddy Hack,,,"Aug 11, 2023"
Orisa,,,"Aug 11, 2023"
Ustaad,,,"Aug 12, 2023"
Barbie,88,84,"Jul 21, 2023"
Oppenheimer,93,91,"Jul 21, 2023"
Haunted Mansion,39,84,"Jul 28, 2023"
Sound of Freedom,68,99,"Jul 04, 2023"
"Mission: Impossible - Dead Reckoning, Part One",96,94,"Jul 12, 2023"
Talk to Me,95,82,"Jul 28, 2023"
Indiana Jones and the Dial of Destiny,69,88,"Jun 30, 2023"
Elemental,74,93,"Jun 16, 2023"
Insidious: The Red Door,39,69,"Jul 07, 2023"
Rocky Aur Rani Kii Prem Kahaani,92,84,"Jul 28, 2023"
Spider-Man: Across the Spider-Verse,95,94,"Jun 02, 2023"
The First Slam Dunk,100,98,"Jul 28, 2023"
Theater Camp,84,80,"Aug 04, 2023"
No Hard Feelings,70,87,"Jun 23, 2023"
Transformers: Rise of the Beasts,52,91,"Jun 09, 2023"
The Little Mermaid,67,94,"May 26, 2023"
The Flash,64,83,"Jun 16, 2023"
Asteroid City,74,62,"Jun 23, 2023"
The Miracle Club,71,84,"Jul 14, 2023"
Joy Ride,91,82,"Jul 07, 2023"
"Ruby Gillman, Teenage Kraken",65,81,"Jun 30, 2023"
Guardians of the Galaxy Vol. 3,81,94,"May 05, 2023"
The Super Mario Bros. Movie,59,95,"Apr 05, 2023"
Afire,88,59,"Jul 14, 2023"
Bobi Wine: The People's President,100,67,"Jul 28, 2023"
KOKOMO CITY,98,80,"Jul 28, 2023"
The Unknown Country,91,100,"Jul 28, 2023"
Lakota Nation vs. United States,100,64,"Jul 14, 2023"
Sympathy for the Devil,58,62,"Jul 28, 2023"
Return to Dust,96,78,"Jul 21, 2023"
The Cow Who Sang a Song Into the Future,89,99,"May 19, 2023"
Close to Vermeer,100,99,"May 26, 2023"
The League,95,85,"Jul 07, 2023"
Squaring the Circle (The Story of Hipgnosis),91,76,"Jun 07, 2023"
It Ain't Over,98,96,"May 12, 2023"
"Desperate Souls, Dark City and the Legend of Midnight Cowboy",89,78,"Jun 23, 2023"
The Last Rider,95,100,"Jun 23, 2023"
Blue Jean,95,91,"Jun 09, 2023"
Scarlet,78,98,"Jun 09, 2023"
Somewhere in Queens,91,92,"Apr 21, 2023"
Meg 2: The Trench,28,72,"Aug 04, 2023"
Teenage Mutant Ninja Turtles: Mutant Mayhem,96,91,"Aug 02, 2023"
LOLA,100,73,"Aug 04, 2023"
Shortcomings,83,88,"Aug 04, 2023"
Corner Office,27,53,"Aug 04, 2023"
Passages,91,,"Aug 04, 2023"
Dreamin' Wild,88,67,"Aug 04, 2023"
The Collective,,20,"Aug 04, 2023"
A Compassionate Spy,83,,"Aug 04, 2023"
Mob Land,25,77,"Aug 04, 2023"
Brother,87,90,"Aug 04, 2023"
Our Body,100,,"Aug 04, 2023"
What Comes Around,35,29,"Aug 04, 2023"
Til Death Do Us Part,41,50,"Aug 04, 2023"
Klondike,97,,"Aug 04, 2023"
The Hiding Place,,91,"Aug 03, 2023"
The Highest of Stakes,,98,"Aug 04, 2023"
Heir of the Witch,,90,"Aug 02, 2023"
Bobcat Moretti,,100,"Aug 04, 2023"
Ransomed,86,86,"Aug 04, 2023"
Tokyo Pop,100,68,"Apr 15, 1988"
Men of Deeds,100,,"Aug 04, 2023"
Growing Up Local,,,"Aug 04, 2023"
Miss Shetty Mr Polishetty,,,"Aug 04, 2023"
Rosemary & Sage Turn Back Thyme,,,"Aug 04, 2023"
Corona Dhavan,,,"Aug 04, 2023"
